Number,Group,Longitude,Latitude,HOLC_Code,HOLC_Code_groups,Income_status,acwo_abundance_nmixture,alhu_abundance_max_count,amcr_abundance_max_count,amro_abundance_max_count,anhu_abundance_nmixture,bewr_abundance_nmixture,blph_abundance_max_count,btpi_abundance_nmixture,btyw_abundance_nmixture,bush_abundance_nmixture,calt_abundance_nmixture,casj_abundance_nmixture,cora_abundance_max_count,deju_abundance_max_count,ecdo_abundance_max_count,eust_abundance_nmixture,hofi_abundance_max_count,hosp_abundance_max_count,lego_abundance_max_count,modo_abundance_nmixture,nomo_abundance_max_count,oati_abundance_nmixture,ocwa_abundance_max_count,rcki_abundance_nmixture,rcpa_abundance_nmixture,ropi_abundance_nmixture,rwwb_abundance_max_count,spto_abundance_nmixture,towa_abundance_nmixture,wcsp_abundance_nmixture,webl_abundance_max_count,yrwa_abundance_nmixture,Forest_abundance_sum,Shrub_abundance_sum,Synanthrope_abundance_sum,Natural_lands_abundance_sum,Exotic_abundance_sum,Migrant_abundance_sum,Resident_abudance_sum,Cumulative_richness,Forest_richness,Shrub_richness,Natural_lands_richness,Synanthrope_richness,Exotic_richness,Migratory_richness,Resident_richness,Building_density,Year built,Land_value,Last sale price $,Bedrooms & bathrooms,Square footage,Tree_canopy_cover,Grass cover %,Impervious_cover,Building cover %,Paved surface %,Street-tree density,Street-tree dominance,Street-tree importance value,Natural areas & wildlife sanctuaries,Ecological_sites,Regional parks & gardens,Golf courses,Cemeteries,Beaches & marinas
19,NorthridgeLowPC,-118.5515069,34.22639106,Not_redlined,Not_redlined,Low,0.170526908,9,5,0,4.068333228,0.783803532,0,0.789085308,0.23256474,45.92944063,3.013243784,1.3388186,0,0,2,11.383038,18,16,6,47.07883064,13,0.234530744,0,1.247634372,2.045599052,9.897228016,0,0.335667812,4.252265068,27.31602374,0,35.10489521,47.43865419,82.78533133,139.4046957,130.2239855,41.32586508,68.15338315,196.0681462,24,2,3,5,9,3,3,12,154,1959,181613.4177,107332.0359,5.474130863,1538.909782,24.6361872,13.76413362,57.21837897,32.7122503,24.50458336,1.968787515,2.895775882,2.432281699,4036.628613,5739.54201,889.4045382,5641.123772,7197.844937,20284.00102
33,WhittierMediumPC,-118.0640456,33.98847882,B,AB,Low,0.170526908,5,8,0,9.083578086,0.783803532,0,0.789085308,0.23256474,44.90297342,2.713357508,1.3388186,0,0,6,14.383038,22,16,12,38.27534497,6,0.234530744,1,2.247634372,3.045599052,5.897228016,0,0.335667812,3.252265068,20.76445951,0,24.8826707,43.23167453,79.92265847,136.6012101,123.154333,45.32586508,52.37959439,196.953552,18,5,3,8,10,0,5,14,174,1944,161190.0988,101865.7787,4.474831999,1314.164609,17.30084675,24.77303014,57.92612311,35.15738521,22.50719959,1.044417767,1.174027557,1.109222662,700.7459031,1956.580558,334.4606967,3518.802404,2207.564384,26005.58834
15,LakewoodMediumPC,-118.1529492,33.85290973,Not_redlined,Not_redlined,Medium,0.170526908,5,2,0,9.405441356,0.783803532,0,0.789085308,0.23256474,39.81599744,1.713357508,4.3388186,1,0,1,15.383038,27,16,21,29.89080293,10,0.234530744,0,1.247634372,2.045599052,5.897228016,0,0.335667812,3.252265068,22.64186725,0,35.9671246,55.63799169,79.03495349,136.216668,134.6729452,40.32586508,63.34145602,192.8038972,17,4,3,6,10,2,3,14,171,1953.5,199954.3088,144137.0486,4.567572567,1407.086463,13.34767924,22.40271609,64.13400964,39.04478129,25.08922834,3.409363745,1.931311053,2.670337399,3942.087557,10518.56325,266.9336607,1437.129964,981.1144489,9677.321767
1,AlhambraLow,-118.1241901,34.08729323,B,AB,Medium,0.170526908,5,6,0,5.572567884,0.783803532,0,0.789085308,1.287511269,52.21485015,3.013243784,2.589589173,0,0,0,23.51898031,18,11,5,50.67078408,7,0.234530744,0,4.359579902,4.045599052,5.897228016,0,0.335667812,3.252265068,26.89757202,0,35.04657678,53.30223304,91.40729437,136.1325915,144.7095274,44.46180739,70.84350505,201.8364568,21,5,4,9,9,3,5,14,125,1933.5,220040.3608,131932.0048,4.681663547,1571.430434,14.08103545,25.59549677,55.35083938,35.33951365,19.95197463,2.605042017,1.293097289,1.949069653,1899.971262,5974.120158,907.0867147,928.6469124,2311.041882,32367.424
31,VeniceRichPC,-118.4497083,34.00998427,C,CD,High,1.170526908,9,10,0,9.782067452,2.947648791,0,0.789085308,0.23256474,70.25338616,7.216310475,3.589589173,2,0,4,16.383038,16,7,13,42.43990987,8,1.234530744,2,9.931277547,2.045599052,5.897228016,0,0.335667812,10.88464151,30.32282409,5,54.47013423,99.08441761,124.447494,135.765775,223.5319116,35.32586507,112.8414421,231.0845878,24,9,5,12,10,2,6,17,195,1950.5,407205.6082,5699113.672,5.31614834,1657.861809,29.14370973,26.02627845,44.29052929,35.9476253,8.342903994,2.448979592,5.839179657,4.144079625,993.7924252,3095.167937,1149.536216,902.3857648,2718.743004,2783.589902
21,PasadenaMedium1,-118.1584546,34.17689068,D,CD,Medium,5.21198449,7,4,0,8.075108774,3.947648791,0,11.69244688,1.23256474,45.54017862,2.713357508,2.3388186,4,0,5,16.12070383,13,6,10,45.69156968,6,0.234530744,2,4.864542944,12.04559905,5.897228016,0,0.335667812,6.252265068,21.64186725,0,42.84477593,84.74703816,84.59264735,134.7551006,169.3396855,45.06353091,78.83601593,210.8448428,22,9,5,12,11,4,6,18,173,1932.5,192062.818,114686.0423,4.083817967,1223.366138,31.24397678,20.57121766,45.14913841,27.42441038,17.72472803,5.294117647,3.283943209,4.289030428,1415.845225,1847.730625,863.1430104,1110.470082,868.5877092,35105.08488
5,BurbankMediumPC,-118.3058002,34.19519687,B,AB,High,7.224968206,8,1,4,10.91645156,1.783803532,4,0.789085308,1.287511269,38.887227,6.613016336,2.3388186,4,0,0,21.2920149,21,13,10,30.22176713,10,0.234530744,0,4.041358909,4.045599052,7.897228016,0,0.335667812,3.252265068,22.93883627,0,53.19113364,87.2761233,83.81382111,134.4566091,171.0899444,46.23484197,88.71110516,199.5801782,16,8,5,11,11,2,5,17,163,1938.5,332269.2448,7115180.249,5.41198372,1979.661623,26.96074133,22.73767986,49.4760342,31.93877648,17.01692241,4.465786315,6.394044608,5.429915461,655.3197043,673.8194625,488.6065959,1036.294989,3134.048804,26641.67411
16,LongBeachLowPC,-118.1622067,33.77714246,C,CD,Low,1.170526908,6,6,0,9.321522726,0.783803532,0,0.789085308,0.23256474,45.68660493,2.713357508,3.589589173,0,0,0,18.86067717,17,20,7,41.22176713,10,0.234530744,1,2.485386144,2.045599052,5.897228016,0,0.335667812,4.252265068,24.409759,0,36.61330751,59.68877831,86.84030468,134.0252714,146.529083,46.80350425,68.99328245,198.64996,23,5,4,9,8,2,5,13,144,1918.5,244361.6837,172768.5588,3.676006565,1187.503159,19.8574476,12.59568625,67.53982192,46.34317702,21.19664491,3.169267707,1.826529689,2.497898698,951.6900901,4451.742761,329.8346449,1834.992282,3649.230835,1428.569556
23,PasadenaRichPC,-118.1084492,34.16410863,A,AB,High,3.21198449,6,1,0,11.27952656,2.783803532,0,8.963741209,1.287511269,41.96205819,7.247203124,4.3388186,7,0,5,12.383038,13,6,16,43.14321323,5,0.234530744,2,10.34812534,13.43053856,5.897228016,0,0.335667812,7.385317516,37.58549186,1,47.64776863,97.69732436,105.5325697,133.8540178,203.229894,42.71080459,107.2542146,207.2113521,20,10,5,13,11,1,7,18,119,1933.5,311778.9045,203345.1161,4.460801394,1561.313306,32.25330622,25.22845499,41.96070575,30.05630482,11.90440092,3.985594238,2.393301613,3.189447925,1679.086172,1248.815336,716.2879695,1770.069482,4212.70102,37915.53115
12,DuarteRichPC,-117.941011,34.14310779,Not_redlined,Not_redlined,Medium,0.170526908,3,5,0,14.04237676,1.783803532,0,0.789085308,0.23256474,44.4446926,6.082712371,1.3388186,4,0,6,18.28098094,12,11,18,33.80842981,12,0.234530744,0,6.472522505,2.045599052,5.897228016,0,0.335667812,5.252265068,31.93883627,0,41.30218558,69.8348762,99.96690794,131.0322378,169.8017841,43.22380801,85.19837415,196.2544525,25,6,4,8,10,3,4,15,77,1963.5,210234.3458,131797.4821,5.751794872,1566.629188,23.35783105,26.45648236,49.33883196,33.43937961,15.81438125,1.956782713,1.021618301,1.489200507,347.5246705,304.7909121,365.5740779,626.7504408,5595.946694,46696.38902
6,BurbankRichPC,-118.3252753,34.20523909,Not_redlined,Not_redlined,High,0.170526908,9,2,1,11.7751729,5.262724907,1,3.789085308,0.23256474,29.81599744,6.247203124,3.3388186,2,4,2,13.383038,21,7,15,42.54450803,7,0.234530744,0,4.678797968,2.045599052,5.897228016,0,0.335667812,4.252265068,27.14666434,3,33.51317352,65.98493575,83.92224912,129.8703731,149.9071849,30.32586507,73.82346563,188.8401008,28,9,4,11,10,2,5,16,178,1951.5,285947.4702,169864.5828,5.513075872,1808.947459,21.25475896,23.0353241,54.73698225,36.91496406,17.82201818,1.8727491,2.15039936,2.01157423,257.0746045,976.1961428,618.6594261,1610.722514,3024.972244,26378.27735
24,PorterRanchPC,-118.5537608,34.26929394,Not_redlined,Not_redlined,Medium,0.170526908,7,0,2,10.945946,1.783803532,2,2.789085308,0.23256474,47.99201082,5.713357508,1.3388186,3,0,5,11.383038,24,8,19,37.99245614,4,0.234530744,0,3.247634372,2.045599052,5.897228016,0,0.335667812,3.612496926,26.93883627,0,31.10361917,55.67522277,95.04844054,129.3183212,150.7236633,32.32586507,67.13515148,197.6220684,22,8,4,10,8,2,4,14,164,1965,227422.2348,187552.4933,6.874559739,2267.967721,24.27114119,18.9331549,56.12487607,34.91234455,21.20809459,1.068427371,1.2883345,1.178380936,505.2589341,3796.042743,831.2211135,761.3299182,6397.973958,25214.86829
14,GranadaHillsRichPC,-118.4940046,34.28449319,Not_redlined,Not_redlined,High,0.170526908,3,1,0,8.07680254,5.008961023,0,0.789085308,0.23256474,45.52902593,2.713357508,2.589589173,1,0,2,15.383038,17,17,11,43.8645479,6,0.234530744,0,6.964943974,2.045599052,5.897228016,0,0.335667812,5.252265068,26.64186725,0,41.77509254,66.085401,90.89527122,125.190413,156.9806722,42.32586508,80.86673357,189.6379599,19,6,5,9,10,2,4,16,65,1957.5,214494.5986,178055.1192,6.056938432,1791.518699,20.31157416,18.67694564,58.03771243,33.99077435,24.04693809,1.572629052,1.65268788,1.612658466,3313.222049,4064.333589,1761.420495,1095.574571,1566.656754,27076.24636
13,Glendale Low 2,-118.2514165,34.15467958,C,CD,High,1.170526908,8,2,0,15.11892721,1.783803532,0,0.789085308,3.23256474,72.24782373,4.889749399,1.3388186,1,0,1,11.383038,22,15,6,40.48556353,9,0.234530744,0,4.723137916,2.045599052,5.897228016,0,0.335667812,5.612496926,24.9657675,0,36.49140821,68.71149657,120.6805578,123.8114286,189.3920544,35.32586507,75.02537529,220.7203619,25,7,4,9,9,2,5,14,150,1934,304025.2358,182935.1569,4.072781385,1387.346753,23.51169077,24.47066689,51.10734786,34.76976488,16.33466787,2.641056423,3.186306028,2.913681225,1608.972267,874.8533083,505.9206154,2203.102991,1405.339587,24543.2645
29,StudioCityRichPC,-118.1850786,33.93925723,B,AB,High,1.170526908,7,0,0,8.07680254,7.083581603,0,0.789085308,1.23256474,35.81599744,9.283769902,1.3388186,1,0,6,11.383038,14,11,19,37.08737037,9,0.234530744,2,9.948625758,2.045599052,5.897228016,0,0.335667812,7.192413414,26.93883627,0,46.66872437,78.65209239,88.87347416,123.4132354,167.5255666,36.32586507,93.98116455,186.5420163,18,8,4,10,8,3,6,13,166,1940.25,423576.7452,268028.1626,5.534150873,2013.360884,32.10682391,15.58059917,51.56136156,34.77470098,16.78666058,2.965186074,3.945970918,3.455578496,1234.173099,5594.540261,387.341358,559.1077694,5410.076265,17261.14207
32,WhittierLowPC,-118.0539918,33.9749192,B,AB,Low,0.170526908,5,0,0,6.068333228,0.783803532,0,0.789085308,0.23256474,37.81599744,4.382578583,1.3388186,1,0,3,15.383038,20,9,11,42.50663433,6,0.234530744,2,3.485386144,2.045599052,5.897228016,0,0.335667812,3.612496926,25.50168648,0,32.91163397,50.84337656,76.22688567,120.8324994,127.0702622,35.32586507,67.74376825,171.7518416,19,6,3,8,9,3,5,13,198,1950,154177.2478,119470.7302,4.351285966,1266.701957,17.94217079,25.95637056,56.09575783,33.42476739,22.1046737,0.396158463,0.478660323,0.437409393,829.4907677,2413.660705,704.1002786,4428.977124,2944.487371,24934.01624
10,Claremont MedPC,-117.7223997,34.09967945,B,AB,High,0.170526908,6,5,4,12.78722059,5.036881608,4,2.878865448,0.23256474,29.81599744,11.25700238,3.589589173,1,4,0,11.383038,13,6,17,36.50247725,6,2.234530744,1,9.55861188,2.045599052,5.897228016,0,0.335667812,6.883947562,28.57331185,0,42.15419735,85.4900544,91.39567084,113.8283423,176.8857253,25.32586507,92.40263337,180.9346244,25,10,4,12,8,5,5,15,101,1924,250151.517,10610278.41,4.991935484,1970.414225,48.77422514,15.04339713,36.02276041,27.73405898,7.721785034,4.669867947,2.983887484,3.826877716,2717.26319,2799.61787,228.7889998,981.1802042,1771.118326,53808.58442
26,SanMarinoRichPC,-118.0955511,34.12041925,A,AB,High,9.353731945,6,1,1,8.07680254,6.922943043,1,3.789085308,0.23256474,35.81599744,3.713357508,4.589589173,2,0,0,12.383038,10,3,9,38.06700411,10,0.234530744,0,9.213211449,7.045599052,5.897228016,6,0.335667812,4.612496926,19.93883627,1,46.30902793,88.41104075,79.39319378,111.3928692,167.8042345,34.32586507,82.30613731,182.2245747,28,9,5,12,12,1,5,19,118,1937.5,710149.5042,460904.9035,6.169791667,2432.334896,37.78085461,26.95948762,34.97710139,24.49918375,10.47533233,3.205282113,6.132091198,4.668686655,1858.273884,5694.683551,1607.969223,712.4762234,536.9551507,35790.22777
8,CerritosRichPC,-118.0526,33.85315542,Not_redlined,Not_redlined,Medium,0.170526908,7,2,0,11.90967601,0.783803532,0,0.789085308,0.23256474,49.84202326,5.189635675,3.791714237,0,0,0,16.383038,13,16,10,31.09365139,7,0.234530744,0,7.879566357,2.045599052,5.897228016,0,0.335667812,7.735893396,28.30651638,1,54.66935901,88.41291671,100.1590369,110.4195165,188.5719536,40.32586508,99.82389987,183.4661799,15,5,4,9,8,4,5,13,106,1970.25,252848.1917,136195.4994,6.15922619,1799.538095,18.68403162,16.92270394,64.39326444,40.8684697,23.52479474,2.617046819,2.61238992,2.614718369,495.7940468,11285.49997,287.6383953,5116.244466,4227.941726,13304.3637
27,SantaMonicaRichPC,-118.4938343,34.03865822,B,AB,High,3.170526908,7,4,12,13.73150526,6.445580388,4,0.789085308,1.23256474,54.88316381,8.286362538,2.3388186,1,5,2,11.383038,16,2,17,29.22176713,7,8.397064224,3,9.561793953,2.045599052,5.897228016,0,4.490508,7.385317516,27.81582095,0,46.02791655,107.6345931,117.9917595,108.5476322,225.6263526,23.32586507,107.0234137,210.0802472,16,10,6,14,9,2,6,17,77,1931.75,1254754.322,844008.7761,7.899110149,3292.238997,25.55485408,28.12904085,45.12437845,35.07376391,9.630089393,3.961584634,6.063030753,5.012307694,1712.50876,2143.792775,1246.196795,653.5927159,1377.692773,2275.398425
25,RosebowlRichPC,-118.1634749,34.16839887,B,AB,High,9.128596638,6,0,1,12.80492591,3.11149405,1,7.638898197,0.23256474,37.04198208,11.1504036,2.589589173,4,0,2,18.00426996,18,4,5,39.19421216,3,0.234530744,0,8.485718626,2.045599052,5.897228016,0,0.335667812,4.972728784,25.88068173,0,37.00400014,84.09155296,92.91474433,108.1413092,177.0062973,31.94709703,77.57569402,188.1773974,19,8,5,11,9,3,4,16,104,1931.25,433184.3858,274672.7896,6.458998772,2641.843008,43.11863377,20.38268149,34.70534279,24.0779562,10.4171859,3.589435774,2.28804397,2.938739872,225.82807,2499.095628,510.0795806,284.6450923,2450.908907,33648.25729
22,PasadenaMedium2,-118.1172252,34.14088616,A,AB,High,15.19130655,2,0,0,6.572567884,7.895353751,0,1.953852744,0.23256474,29.81599744,7.051799658,2.919199712,2,0,0,16.12070383,7,3,6,28.22176713,6,0.234530744,0,4.91654974,21.32306029,5.897228016,9,0.335667812,4.252265068,22.76445951,0,40.52986647,76.80270366,77.35504576,106.5627593,154.1577494,55.34099215,72.69570553,176.5330356,21,7,4,9,10,3,4,16,129,1925,537883.9175,329306.4545,5.988798702,2370.801607,36.14048393,27.88886388,35.49323737,26.69248417,8.800753203,4.045618247,3.436828744,3.741223496,2452.312672,3809.497541,924.4953882,3213.817465,2844.676066,35847.3773
3,BeverlyHillsRich,-118.4078421,34.06229645,B,AB,High,0.170526908,8,1,0,13.45209793,3.947648791,0,0.789085308,0.23256474,46.33170241,8.586248814,1.3388186,1,2,0,11.383038,9,0,14,32.22176713,7,10.37588655,1,8.796363652,2.045599052,5.897228016,0,3.335667812,8.456357112,24.55097424,1,52.15802103,97.76972184,101.5431586,91.5476322,199.3128804,19.32586507,96.19428078,178.8753153,21,9,5,12,7,3,6,14,90,1929.5,1055127.233,721312.259,7.64290567,3216.062077,25.64119294,21.39595048,52.83572682,38.87299811,13.33721966,3.445378151,2.924352618,3.184865385,4401.702149,9106.442958,412.7457372,838.1968248,3403.424745,9982.240769
